,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2005-10-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,0.0
1,1,-0.0,M,-2147483648,2005-10-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,1.0
2,2,-0.0,U,-2147483648,2005-10-13,Argus Research Corp,Not Provided,5,buy,-0.0,2.0
3,3,-0.0,M,-2147483648,2005-09-23,J.P. Morgan,Not Provided,3,neutral,-0.0,3.0
4,4,-0.0,U,-2147483648,2005-07-26,KeyBanc Capital Markets,12 month,5,buy,22.0,4.0
5,5,-0.0,M,-2147483648,2005-05-27,Credit Suisse,Not Provided,-2147483648,restricted,-0.0,5.0
6,6,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,6.0
7,7,-0.0,M,-2147483648,2005-10-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,7.0
8,8,-0.0,U,-2147483648,2005-10-13,Argus Research Corp,Not Provided,5,buy,-0.0,8.0
9,9,-0.0,M,-2147483648,2005-09-23,J.P. Morgan,Not Provided,3,neutral,-0.0,9.0
10,10,-0.0,U,-2147483648,2005-07-26,KeyBanc Capital Markets,12 month,5,buy,22.0,10.0
11,11,-0.0,M,-2147483648,2005-05-27,Credit Suisse,Not Provided,-2147483648,restricted,-0.0,11.0
12,12,-0.0,M,-2147483648,2006-02-21,EVA Dimensions,Not Provided,5,strong buy,-0.0,12.0
13,13,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,13.0
14,14,-0.0,U,-2147483648,2005-10-13,Argus Research Corp,Not Provided,5,buy,-0.0,14.0
15,15,-0.0,M,-2147483648,2005-09-23,J.P. Morgan,Not Provided,3,neutral,-0.0,15.0
16,16,-0.0,U,-2147483648,2005-07-26,KeyBanc Capital Markets,12 month,5,buy,22.0,16.0
17,17,-0.0,M,-2147483648,2005-05-27,Credit Suisse,Not Provided,-2147483648,restricted,-0.0,17.0
18,18,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,18.0
19,19,-0.0,M,-2147483648,2006-03-17,EVA Dimensions,Not Provided,5,strong buy,-0.0,19.0
20,20,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,20.0
21,21,-0.0,M,-2147483648,2005-09-23,J.P. Morgan,Not Provided,3,neutral,-0.0,21.0
22,22,-0.0,U,-2147483648,2005-07-26,KeyBanc Capital Markets,12 month,5,buy,22.0,22.0
23,23,-0.0,M,-2147483648,2005-05-27,Credit Suisse,Not Provided,-2147483648,restricted,-0.0,23.0
24,24,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,24.0
25,25,-0.0,M,-2147483648,2006-03-17,EVA Dimensions,Not Provided,5,strong buy,-0.0,25.0
26,26,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,26.0
27,27,-0.0,M,-2147483648,2005-09-23,J.P. Morgan,Not Provided,3,neutral,-0.0,27.0
28,28,-0.0,U,-2147483648,2005-07-26,KeyBanc Capital Markets,12 month,5,buy,22.0,28.0
29,29,-0.0,M,-2147483648,2005-05-27,Credit Suisse,Not Provided,-2147483648,restricted,-0.0,29.0
30,30,-0.0,M,-2147483648,2006-05-25,J.P. Morgan,Not Provided,3,neutral,-0.0,30.0
31,31,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,31.0
32,32,-0.0,M,-2147483648,2006-05-08,EVA Dimensions,Not Provided,5,strong buy,-0.0,32.0
33,33,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,33.0
34,34,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,34.0
35,35,-0.0,M,-2147483648,2006-06-20,J.P. Morgan,Not Provided,3,neutral,-0.0,35.0
36,36,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,36.0
37,37,-0.0,M,-2147483648,2006-05-08,EVA Dimensions,Not Provided,5,strong buy,-0.0,37.0
38,38,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,38.0
39,39,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,39.0
40,40,-0.0,M,-2147483648,2006-06-20,J.P. Morgan,Not Provided,3,neutral,-0.0,40.0
41,41,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,41.0
42,42,-0.0,M,-2147483648,2006-05-08,EVA Dimensions,Not Provided,5,strong buy,-0.0,42.0
43,43,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,43.0
44,44,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,44.0
45,45,-0.0,U,-2147483648,2006-08-22,J.P. Morgan,Not Provided,5,overweight,-0.0,45.0
46,46,-0.0,M,-2147483648,2006-08-08,EVA Dimensions,Not Provided,5,strong buy,-0.0,46.0
47,47,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,47.0
48,48,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,48.0
49,49,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,49.0
50,50,-0.0,M,-2147483648,2006-09-26,EVA Dimensions,Not Provided,5,strong buy,-0.0,50.0
51,51,-0.0,U,-2147483648,2006-08-22,J.P. Morgan,Not Provided,5,overweight,-0.0,51.0
52,52,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,52.0
53,53,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,53.0
54,54,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,54.0
55,55,-0.0,M,-2147483648,2006-10-09,EVA Dimensions,Not Provided,5,strong buy,-0.0,55.0
56,56,-0.0,U,-2147483648,2006-08-22,J.P. Morgan,Not Provided,5,overweight,-0.0,56.0
57,57,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,57.0
58,58,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,58.0
59,59,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,59.0
60,60,-0.0,M,-2147483648,2006-11-21,CRT Capital Group,Not Provided,5,buy,-0.0,60.0
61,61,-0.0,D,-2147483648,2006-11-21,EVA Dimensions,Not Provided,5,buy,-0.0,61.0
62,62,-0.0,M,-2147483648,2006-11-10,J.P. Morgan,Not Provided,5,overweight,-0.0,62.0
63,63,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,63.0
64,64,-0.0,D,-2147483648,2006-03-24,Argus Research Corp,Not Provided,1,sell,-0.0,64.0
65,65,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,65.0
66,66,-0.0,U,-2147483648,2006-12-29,Argus Research Corp,Not Provided,3,hold,-0.0,66.0
67,67,-0.0,M,-2147483648,2006-11-21,CRT Capital Group,Not Provided,5,buy,-0.0,67.0
68,68,-0.0,D,-2147483648,2006-11-21,EVA Dimensions,Not Provided,5,buy,-0.0,68.0
69,69,-0.0,M,-2147483648,2006-11-10,J.P. Morgan,Not Provided,5,overweight,-0.0,69.0
70,70,-0.0,D,-2147483648,2006-05-22,KeyBanc Capital Markets,Not Provided,3,hold,-0.0,70.0
71,71,-0.0,M,-2147483648,2006-01-31,Morgan Stanley,Not Provided,3,Equalwt/Cautious,-0.0,71.0
72,72,-0.0,M,-2147483648,2007-01-09,CRT Capital Group,Not Provided,5,buy,31.0,72.0
73,73,-0.0,M,-2147483648,2007-01-04,EVA Dimensions,Not Provided,5,buy,-0.0,73.0
74,74,-0.0,U,-2147483648,2006-12-29,Argus Research Corp,Not Provided,3,hold,-0.0,74.0
