,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
426,17.610000,M,3,2017-04-27,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
427,-0.000000,N,-2147483648,2017-04-27,Vertical Research Partners,Not Provided,3,hold,75.000000
428,-0.000000,M,-2147483648,2017-03-22,Berenberg,Not Provided,5,buy,89.000000
429,30.800000,M,1,2017-02-10,Imperial Capital LLC,12 month,5,outperform,79.000000
430,19.150000,M,2,2017-05-01,Baird,12 month,3,neutral,85.000000
431,0.000000,M,5,2017-05-01,Longbow Research,Not Provided,3,neutral,-0.000000
432,0.000000,M,5,2017-05-01,Susquehanna Financial,12 month,3,neutral,77.000000
433,-17.360000,U,6,2017-04-28,EVA Dimensions,Not Provided,3,hold,-0.000000
434,15.160000,M,4,2017-04-27,Goldman Sachs,12 month,5,Buy/Neutral,88.000000
435,17.610000,M,3,2017-04-27,Credit Suisse,Not Provided,5,outperform,89.000000
436,17.610000,M,3,2017-04-27,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
437,-0.000000,N,-2147483648,2017-04-27,Vertical Research Partners,Not Provided,3,hold,75.000000
438,-0.000000,M,-2147483648,2017-03-22,Berenberg,Not Provided,5,buy,89.000000
439,30.800000,M,1,2017-02-10,Imperial Capital LLC,12 month,5,outperform,79.000000
440,19.150000,M,2,2017-05-01,Baird,12 month,3,neutral,85.000000
441,0.000000,M,5,2017-05-01,Longbow Research,Not Provided,3,neutral,-0.000000
442,0.000000,M,5,2017-05-01,Susquehanna Financial,12 month,3,neutral,77.000000
443,-17.360000,U,6,2017-04-28,EVA Dimensions,Not Provided,3,hold,-0.000000
444,15.160000,M,4,2017-04-27,Goldman Sachs,12 month,5,Buy/Neutral,88.000000
445,17.610000,M,3,2017-04-27,Credit Suisse,Not Provided,5,outperform,89.000000
446,17.610000,M,3,2017-04-27,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
447,-0.000000,N,-2147483648,2017-04-27,Vertical Research Partners,Not Provided,3,hold,75.000000
